"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category";"Major five Asia economies";"Australia";"Austria";"Belgium";"Chile";"Colombia";"Costa Rica";"Czechia";"Denmark";"Estonia";"Finland";"France";"Germany";"Greece";"Hungary";"Ireland";"Israel";"Italy";"Japan";"Korea";"Latvia";"Lithuania";"Luxembourg";"Mexico";"Netherlands";"New Zealand";"Poland";"Portugal";"Slovak Rep.";"Slovenia";"Spain";"Sweden";"Switzerland";"Türkiye";"United Kingdom";"United States";"G7";"G20";"Euro area (19 countries)";"European Union (since 2020)";"OECD";"OECD excluding the euro area";"OECD Europe";"Brazil";"China";"India";"Indonesia";"Russia";"South Africa"
"2010-07-01 00:00:00";100,1698;101,1949;100,2935;100,5633;101,5922;103,7792;102,987;99,95223;101,1339;100,1657;101,9947;98,55846;100,7156;96,30705;100,3895;98,15826;;98,86195;100,1379;102,0451;97,25582;93,64521;100,0507;97,38646;100,0866;101,0769;100,1337;97,7004;99,987;98,21307;95,97453;102,1055;102,0776;99,98065;99,27699;98,28055;99,00968;99,4884;98,90219;98,71791;99,25383;99,17513;99,47222;102,9224;99,73689;;99,68826;101,2028;102,5821
"2010-08-01 00:00:00";99,98219;101,5486;100,6558;100,8198;102,063;104,2988;102,6625;99,65169;101,1359;100,3743;102,3227;98,78314;101,2009;96,39933;100,5709;97,60762;;98,95528;100,0204;101,9064;97,57799;94,31926;100,6192;97,69483;100,1937;100,9101;99,9045;97,67054;99,72249;98,07329;96,5697;102,156;102,0857;100,1599;99,08302;98,11309;98,9619;99,44835;99,29153;99,14233;99,2733;99,09669;99,64468;103,0428;99,46487;;99,80018;100,9577;102,6125
"2010-09-01 00:00:00";99,70647;101,6113;100,8824;100,9553;102,6991;104,2489;102,3753;99,30165;101,1473;100,4359;102,4197;98,98823;101,5459;96,24638;100,6591;96,78352;;99,06349;99,90377;101,8079;98,05499;94,71471;100,5952;98,09631;100,2077;100,7018;99,64635;97,25994;99,48306;98,13566;97,02423;102,174;101,99;100,493;98,73116;98,06405;98,95142;99,39594;99,54151;99,41579;99,29877;99,08424;99,73608;103,1625;99,05468;;99,81923;100,888;102,6349
"2010-10-01 00:00:00";99,49446;101,5537;100,8755;101,0141;103,0448;103,7127;102,1615;98,98066;101,1613;100,3462;102,1022;99,23347;101,7402;96,01804;100,7205;95,84377;;99,08534;99,88947;101,829;98,48174;94,95107;100,3568;98,36851;100,2202;100,471;99,46078;96,24286;99,31108;98,30521;97,098;102,065;101,8351;100,7187;98,4145;98,15907;99,01743;99,3807;99,6355;99,52643;99,33994;99,1545;99,73548;103,2801;98,69066;;99,87341;100,9;102,6183
"2010-11-01 00:00:00";99,32086;101,3013;100,6785;100,9837;102,9526;102,9605;102,0852;98,86246;101,1617;100,4737;101,5863;99,38045;101,8713;95,75428;100,6804;95,19882;;99,12516;99,9593;101,9276;98,38668;95,07259;100,1834;98,46446;100,2195;100,2122;99,35139;95,59222;99,37595;98,26225;96,90553;101,9832;101,6675;101,005;98,11409;98,40727;99,16298;99,40242;99,66152;99,55367;99,4169;99,31138;99,7014;103,4245;98,33498;;100,0074;100,8633;102,5609
"2010-12-01 00:00:00";99,1594;101,0268;100,5169;100,8124;102,6405;102,2552;102,1978;98,73624;101,05;100,5951;101,0383;99,15417;101,8735;95,50151;100,4566;94,95279;;99,13924;100,0163;101,861;98,10831;95,12099;99,99358;98,49533;100,2239;99,90347;99,32973;95,50878;99,19671;98,06587;96,61688;101,9478;101,5177;101,2185;97,81578;98,64922;99,25977;99,38882;99,55279;99,42282;99,44854;99,44625;99,58887;103,4546;98,01729;;100,1909;100,6946;102,4548
"2011-01-01 00:00:00";99,10952;100,7504;100,4674;100,6102;102,3366;101,9638;102,3587;98,64428;100,9184;100,7932;100,8717;98,78873;101,8189;95,5764;100,0719;95,14483;;98,86839;99,94747;101,5605;98,10854;95,21977;100,1445;98,55777;100,4144;99,54185;99,26516;95,63641;98,83556;97,82371;96,50952;101,9509;101,3957;101,4678;97,41129;98,75363;99,22995;99,35818;99,42027;99,24838;99,40773;99,48689;99,44572;103,4551;97,967;;100,3734;100,4914;102,2925
"2011-02-01 00:00:00";99,20489;100,6148;100,4158;100,5166;101,9649;101,9499;102,3734;98,48875;100,8297;100,8799;100,8349;98,48653;101,7424;95,79456;99,61098;95,66854;;98,59793;99,6198;101,026;98,01837;95,49155;100,3065;98,62572;100,531;99,22855;98,96633;95,85786;98,45897;97,46183;96,63752;101,8376;101,3108;101,7815;97,17129;98,70625;99,09674;99,34901;99,3304;99,09437;99,30034;99,39574;99,3483;103,3468;98,31058;;100,3663;100,4112;102,1219
"2011-03-01 00:00:00";99,42416;100,5089;100,3103;100,3505;101,7177;101,8132;102,0819;98,21026;100,8124;100,7683;100,7618;98,27226;101,6197;95,88137;99,13197;96,40659;100,6586;98,32272;99,00213;100,4117;97,84029;95,92496;100,2517;98,52428;100,5001;99,13042;98,52528;95,81104;98,05862;97,39342;96,77006;101,5873;101,2631;101,9674;97,02683;98,47121;98,83096;99,3204;99,18936;98,87933;99,0779;99,1248;99,23422;103,0984;98,99776;;100,2201;100,5848;102,0037
"2011-04-01 00:00:00";99,49001;100,4219;100,1963;100,2744;101,5328;101,5606;101,5945;98,02992;100,8514;100,4138;100,5359;98,19289;101,5204;95,79225;98,89666;96,80304;100,9018;98,10048;98,36027;100,2164;97,94826;96,37743;99,97384;98,34999;100,3768;99,39282;98,3168;95,63708;97,96046;97,62772;96,91092;101,35;101,1986;102,0918;97,05894;98,41493;98,67972;99,29919;99,05357;98,69881;98,9497;98,9668;99,17277;102,8509;99,38348;;100,1105;100,9071;101,9766
