STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indic_is,Information society indicator,ind_type,Individual type,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AL,Albania,2018,,48.33,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AL,Albania,2019,,52.13,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AL,Albania,2020,,54.80,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AL,Albania,2021,,60.77,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AL,Albania,2022,,64.07,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AL,Albania,2023,,66.27,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AL,Albania,2024,,68.95,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AT,Austria,2013,,37.45,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AT,Austria,2014,,44.24,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AT,Austria,2015,,45.33,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AT,Austria,2016,,49.02,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AT,Austria,2017,,51.19,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AT,Austria,2018,,53.17,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AT,Austria,2019,,55.55,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AT,Austria,2020,,59.54,,,,,
dataflow,ESTAT:TIN00127(1.0),Individuals using the internet for participating in social networks,A,Annual,PC_IND,Percentage of individuals,I_IUSNET,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",IND_TOTAL,All individuals,AT,Austria,2021,,57.11,,,,,
